time_sec,x,y,path_length
734.807,-1.9998982995876176,-0.5000010686722786,0.00016822091149536943
734.841,-1.9998983141248574,-0.5000010686986421,0.00016823544875913118
734.875,-1.9998983200581097,-0.5000010687231433,0.00016824138206205326
734.909,-1.999898321486091,-0.500001068720188,0.00016824281004640013
734.943,-1.999898318015319,-0.5000010687161133,0.0001682462808209062
734.977,-1.9998983055560635,-0.5000010686932943,0.00016825874009720768
735.011,-1.999898287164522,-0.5000010687394664,0.00016827713169678817
735.045,-1.999898294392016,-0.5000010686928609,0.00016828435934120988
735.079,-1.9998983006991389,-0.5000010687477594,0.00016829066670295356
735.113,-1.9998983196961442,-0.5000010686456171,0.00016830966398285094
735.147,-1.9998983271886608,-0.5000010687596979,0.00016831715736790207
735.181,-1.9998983288671077,-0.5000010687563443,0.00016831883581818925
735.215,-1.9998983256308835,-0.5000010687517817,0.00016832207204558303
735.249,-1.9998983134060981,-0.5000010687285228,0.0001683342968531155
735.283,-1.9998982909376002,-0.5000010686770756,0.00016835676540996703
735.317,-1.999898261164911,-0.5000010687608486,0.00016838653821702794
735.351,-1.9998982596025343,-0.5000010686525285,0.00016838810434413563
735.385,-1.9998982613910379,-0.5000010687657377,0.0001683898964270964
735.419,-1.999898270736083,-0.5000010687819699,0.0001683992414863761
735.453,-1.9998982933981133,-0.5000010687637046,0.00016842190352398925
735.487,-1.9998983045199712,-0.5000010686741566,0.0001684330257423621
735.521,-1.9998983047103482,-0.5000010687485971,0.00016843323015567225
735.555,-1.9998982962872371,-0.5000010687940204,0.0001684416533892461
735.589,-1.9998982833443357,-0.5000010687878557,0.00016845459629213154
735.623,-1.9998982640114011,-0.5000010687719013,0.00016847392923330118
735.657,-1.9998982417650906,-0.500001068753646,0.00016849617555136277
735.691,-1.9998982394070874,-0.5000010687733107,0.000168498533636485
735.725,-1.9998982375271952,-0.500001068805074,0.0001685004137970488
735.759,-1.9998982575592594,-0.5000010686962573,0.00016852044615682944
735.793,-1.9998982748234568,-0.5000010688268176,0.00016853771084790809
735.827,-1.999898288994134,-0.5000010687935212,0.00016855188156410193
735.861,-1.9998982927567421,-0.5000010687508997,0.00016855564441372066
735.895,-1.9998982859688197,-0.5000010687492421,0.0001685624323363694
735.929,-1.9998982687252134,-0.5000010688352358,0.00016857967615711335
735.963,-1.999898245855393,-0.500001068823301,0.00016860254598048726
735.997,-1.9998982282339774,-0.5000010688248044,0.00016862016739621136
736.031,-1.9998982087986636,-0.5000010688327148,0.00016863960271162393
736.065,-1.9998982139626953,-0.500001068756733,0.00016864476730222522
736.099,-1.9998982271414745,-0.5000010688344694,0.00016865794631067024
736.133,-1.999898243586246,-0.5000010688587961,0.00016867439110020802
736.167,-1.9998982569707162,-0.500001068852005,0.00016868777557212973
736.201,-1.9998982638566567,-0.5000010688449558,0.00016869466151622244
736.235,-1.9998982604482103,-0.5000010688134372,0.00016869807010836248
736.269,-1.9998982467516961,-0.5000010687506098,0.0001687117667666049
736.303,-1.9998982223161768,-0.5000010688163473,0.00016873620237441544
736.337,-1.999898210090029,-0.5000010688572852,0.00016874842859060317
736.371,-1.9998982012527753,-0.5000010688725555,0.0001687572658576138
736.405,-1.9998982145846362,-0.5000010687943313,0.00016877059794804917
736.439,-1.9998982223838035,-0.5000010688892025,0.00016877839769235966
736.473,-1.9998982297205472,-0.5000010688666858,0.00016878573447056872
736.507,-1.999898226735588,-0.5000010688358792,0.00016878871958870447
736.541,-1.9998982134633836,-0.5000010687735486,0.0001688019919395131
736.575,-1.9998981942901841,-0.5000010688966495,0.0001688211655341647
736.609,-1.9998981969406577,-0.5000010688558196,0.00016882381632225165
736.643,-1.999898197596073,-0.5000010689110348,0.00016882447405920564
736.677,-1.9998982111686805,-0.5000010688036856,0.00016883804709120774
736.711,-1.999898221053884,-0.5000010689076739,0.00016884793284169518
736.745,-1.9998982286420453,-0.5000010689004205,0.00016885552100637239
736.779,-1.9998982259553517,-0.5000010688692249,0.000168858207881009
736.813,-1.9998982129780962,-0.5000010688066515,0.00016887118528735793
736.847,-1.9998981892598868,-0.5000010688726436,0.00016889490358856045
736.881,-1.999898177745985,-0.5000010689137966,0.0001689064175639366
736.915,-1.9998981696182436,-0.500001068929272,0.00016891454532003817
736.949,-1.9998981836552743,-0.5000010688512301,0.00016892858256763087
